ID,Inv_No,Photolink,PHI_link,Habicht_No_AvP8.3 page,"Habicht_image_Avp8,3_Taf",Habicht_cat,period,date_start,date_end,date,type,Content,Comments on content,Form,Material,Location found,Location - intended,Comments on location,Translations and other literature,X-coord,y-coord,Geo_notes ,Current_Location,Location_Code,current_x-coord,current_y-coord,Current_Network_Beeline,Relation,Relation to,Pleiades2,x-coord_Network,y-coord_Network,Beeline,Festival,Asklepios,Other gods or heroes,Honoree,Dedicant,Pergamenes (pilgrims),Pergamenes (Roman citizens),Romans (other),Other (pilgrims),other prosopography (needs cleaning or omit),Profession or magistracy,cult role,References
"14",IvP III 11,,https://inscriptions.packhum.org/text/303011?bookid=747&location=1674,"11, pp. 32-33",,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"162","162",162 AD,Honorific,Statue base for Lucius Verus (co-emperor Aurelius) as Soter and Ktistes, ,Large statue base+some fragments,White Marble,"Statue base found in unkown location; Left upper corner found at the ""Festplatz"" (open space between Propylon and Hellenistic Temple)", ,"As it was dedicated to the co-emperor and one part was found in the large open space, it seems likely that it stood close to M. Aurelius' statue", ,9514376.633,4331914.175,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 11,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 11,,,,Lucius Verus,,,,,,"Trajan; Nerva; Hadrian; Antoninus Pius; Quintilius",,,
"15",IvP III 12,https://drive.google.com/file/d/1x8qH-WssiI-LGPmfDc0Ba0CeXT1tPSz2/view?usp=sharing,https://inscriptions.packhum.org/text/303012?bookid=747&location=1674,"12, pp. 33-34",Taf. 3,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"213","214",213-214 AD,Honorific,"Statue base in Latin of emperor Caracalla, depicted as priest",This one is in Latin instead of Greek. The name of the dedicator has been extremely well erased so that no remnants of a name can be found,Statue Base,White marble,Found east from the Roman baths, ,A head for this base has been found near the Roman baths. Caracalla was presented as Priest, ,9514330.03117595,4331927.49574165,,y,B016,9514370.138,4331931.776,Beelines__Point_IvP III 12,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 12,,,,Caracalla,,,,[Julius Avitus?],,,[Senator?],"pontifex maximus, etc.(several imperial titles )",
"16",IvP III 13,,https://inscriptions.packhum.org/text/303013?bookid=747&location=1674,"13, pp. 34-35",,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"200","217",200-217 AD,Honorific,Base for a head of Caracalla, ,Base for a head ,White Marble,Found in front of the northern hall at the side of the theatre, ,This place seems to have been a vocal point for honorific statues, ,9514314.79047936,4331942.60799026,,n,,,,Beelines__Point_IvP III 13,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 13,,,,Caracalla,,,,,,,,,
"17",IvP III 14,,https://inscriptions.packhum.org/text/303014?bookid=747&location=1674,"14, pp. 35",Taf. 5,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"212","217","212-217 AD; 215 AD",Honorific,"Base in Latin for Caracalla; dedicated by, according to Habicht L. Didius Marinus and Aristaenetus","The inscription is in Latin and is similar to no. 15, the statue base for Julia Domna",Fragment of the top of a statue base,Yellow-Brown Alabaster,Found at the south-eastern corner of the Asklepios temple, ,"The temple is the round Asklepios-Soter temple and not the Hellenistic temple, based on the names given by Habicht on his plan of the complex",Habicht's version fills in more gaps in the text than the previous editions,9514330.53,4331907.98,SE temple Asklepeion,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 14,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 14,,,,Caracalla,"L. Didius Marinus;  Aristaenetus",,,"Aristaenetus, now named Aur. Tacitus; L. Didius Marinus",,,"Equites; arcarius Moesiae inferioris",,
"18",IvP III 15,,https://inscriptions.packhum.org/text/303015?bookid=747&location=1674,"15, pp. 35-36",,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"212","217","212-217 AD; 215 AD",Honorific,"Base in Latin for Julia Domna, mother of Caracalla. Dedicated by Marinus and the freeman Aristaenetus, now named Aur. Takitus","The inscription is in Latin and is the similar to no. 14, the statue base for Caracalla",Fragment of the top of a statue base,Yellow-Brown Alabaster,Found at the sout-eastern corner of the Asklepios temple, ,"The temple is the round Asklepios-Soter temple and not the Hellenistic temple, based on the names given by Habicht on his plan of the complex", ,9514330.53,4331907.98,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 15,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 15,,,,Julia Domna (mother of Caracalla),"Marinus;  Aristaenetus, now named Aur. Tacitus",,,"Aristaenetus, now named Aur. Tacitus; L. Didius Marinus",,,"Equites; arcarius Moesiae inferioris",,
"19",IvP III 16,,https://inscriptions.packhum.org/text/303016?bookid=747&location=1674,"16, pp. 37-38",Taf. 5,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"212","217","212-217 AD; 215 AD",Honorific,"Dedication in Latin to Julia Domna, mother of Caracalla. Dedicated by Romanius Montanus who was procurator familiarum gladiatorum","Inscription is in Latin; a Christian name is carved into it in Greek",Rectangular block,White Marble,Not stated,Originally based in the Asklepieion based on the relationship with Caracalla and Julia Domna (Nos 12-15,Reused in a Christian home, ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 16,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 16,,,,Julia Domna,Romanius Montanus,,,Romanius Montanus,,,procurator familiarum gladiatorum,,
"20",IvP III 17,,https://inscriptions.packhum.org/text/303017?bookid=747&location=1674,"17, pp. 38",Taf. 5,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"-15","250",Unkown,Honorific?,Too fragmented to tell,Habicht categorises it under honours for Emperors and imperial family members,Fragment of statue base?,White marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 17,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 17,,,,,,,,,,,,,
"21",IvP III 18,https://drive.google.com/file/d/1bqyKOdoim7pvGc-FefuBVgzCeu1XDr-n/view?usp=sharing,https://inscriptions.packhum.org/text/303018?bookid=747&location=1674,"18, pp. 38-39",Taf. 5,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Late Hellenistic,"-100","0",100-0 BC,Honorific,"Statue base for Tertia Lollia, wife of proconsul (??) of Asia for Euergetism, by the demos of Pergamon","Habicht thinks it is likely that her husband also had a statue close to this one, not on a wall as previously thought but on a second statue base",Block of a larger pedestal,Light Blue-ish marble,Found in the hall SW of the Theatre Skene (westhall), , , ,9514293.748,4331950.955,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 18,,,,,,Beelines_Point_IvP III 18,,,,"Tertia Lollia, wife of proconsul (??) of Asia",,,,Tertia Lollia,,,Proconsul,,
"22",IvP III 19,,https://inscriptions.packhum.org/text/303019?bookid=747&location=1674,"19, pp. 39-41",Taf. 6,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Early imperial,"-15","14",After 15 BC,Honorific,Statue base for honouring proconsul of Asia Lucius Calpurnius Piso and his wife Statilia,Likely stood under a statuegroup consisting of 2 statues,"Fragment of a ""Konsolengiebels""",White Marble,"Stands in front of the ""Geisonvorderfläche""", , , ,,,unknown architectural feature,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 19,,,,,,Beelines_Point_IvP III 19,,,,proconsul of Asia Lucius Calpurnius Piso and his wife Statilia,,,,L. Calpurnius Piso and his wife Statilia Tauri,,,Proconsul,,
"23",IvP III 20,https://drive.google.com/file/d/1tXmHpEwIHwOLBFyzWEDUTAHKpBjgUr--/view?usp=sharing,https://inscriptions.packhum.org/text/303020?bookid=747&location=1674,"20, pp. 41-43",Taf. 7,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"120","150",After 120 AD,Honorific,Statue base for A. Julius Quadratus for his High Priesthood of Pergamon ,Likely of the local cult for the Emperor. Quadratus was also consul in 94 and 105 AD ,Lowest part of a statue base,White Marble,Found between the Northern Hall and Roman Baths,unclear, , ,9514314.79,4331942.608,,y,B029,9514331.733,4331935.259,Beelines__Point_IvP III 20,Pergamon,,https://pleiades.stoa.org/places/550812,27.1845303333,39.1312133333,Beelines_Point_IvP III 20,,,,A. Julius Quadratus (Archiereus),,,A. Julius Quadratus,,,,Senator,Archiereus,
"24",IvP III 21,https://drive.google.com/file/d/1_7cMcUdb2x87AHwygVxtsLlASRDNuHrK/view?usp=sharing,https://inscriptions.packhum.org/text/303021?bookid=747&location=1674,"21, pp. 43-53",Taf. 8,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"118","118",117/118 AD,Honorific,honour for C. Julius Quadratus Bassus by the city Seleukia at Zeugma,"Frontside includes multiple positions occupied by Bassus, a cursus honorum ; backside includes his death and funeral",Statue base in 2 parts,White Marble,Found in front of the steps of the north hall in the area of the theater, ,This place seems to have been a focal point for honorific statues,Habicht is detailed when discussing this inscription,9514314.79,4331942.608,,n,Bergama Museum,,,Beelines__Point_IvP III 21,"Armenia; Asia (province); Dacia; Galatia; Isauria; Judea; Cappadocia; Kommagene; Kreta; Paphlagonia; Phoenicia; Phrygia; Pontos; Seleukeia at Zeugma; Syria",,,,,Beelines_Point_IvP III 21,,,Hadrian,C. Julius Quadratus Bassus,Seleukia at Zeugma,,C. Julius Quadratus Bassus,Quintilius Capito,,"Trajan; Hadrian",Senator,,
"25",IvP III 21.1,,https://inscriptions.packhum.org/text/303022?bookid=747&location=1674,"21.1, pp. 43-53",Taf. 9,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"117","117",117/118 AD,Honorific,honour for C. Julius Quadratus Bassus by the city Seleukia at Zeugma,"Frontside includes multiple positions occupied by Bassus, a cursus honorum ; backside includes his death and funeral",Statue base in 2 parts,White Marble,Found in front of the steps of the north hall in the area of the theater, ,This place seems to have been a vocal point for honorific statues,Habicht is detailed when discussing this inscription,9514314.79,4331942.608,,n,,,,Beelines__Point_IvP III 21.1,,,,,,Beelines_Point_IvP III 21.1,,,,C. Julius Quadratus Bassus (Consul),Seleukia at Zeugma,,C. Julius Quadratus Bassus,,,,Senator,,
"26",IvP III 22,https://drive.google.com/file/d/1_NBlwglYo18jcwHX6vTwBp93lNkowYjw/view?usp=sharing,https://inscriptions.packhum.org/text/303023?bookid=747&location=1674,"22, pp. 53-59",Taf. 7,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"128","129",128-129 AD,Honorific,Honours for Procunsul of Asia L. Hedius Rufus Lollianus Avitus by the city of Pergamon,Likely 2 or more statues,Statue base,White marble,Found in front of the stairs of the temple of Asklepios, , , ,9514331.343,4331912.102,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 22,,,,,,Beelines_Point_IvP III 22,,"Asklepios, o theos",Ge,Proconsul of Asia L. Hedius Rufus Lollianus Avitus,"Boule and demos; T. Flavius Claudianus; Ti. Julius Aelius Tatianus; C. Julius Bassus Claudianus; C. Silius Otacilianus",,"T. Flavius Claudianus; Ti. Julius Aelius Tatianus; C. Julius Bassus Claudianus; C. Silius Otacilianus",L. Hedius Rufus Lollianus Avitus,,"T. Flavius Claudianus; Ti. Julius Aelius Tatianus; C. Julius Bassus Claudianus; C. Silius Otacilianus",Senator,,
"27",IvP III 23,https://drive.google.com/file/d/1IrtxG_Gn2fVb4xlJCCMcrRfCkZFUa5JN/view?usp=sharing,https://inscriptions.packhum.org/text/303024?bookid=747&location=1674,"23, pp. 59",Taf. 9,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"145","155",ca. 150 AD,Honorific,Honours for Sextus Julius Maior Antoninus Pythodoros for eusebia,"This is, according to Habicht, the same Antoninus that renovated the Epidaurian Asklepieion mentioned by Pausanias (2.27)",Statue base,White Marble,Found at the open space (Festplatz) in front of the Northern Hall across the Theater, ,This place seems to have been a vocal point for honorific statues,SEG 4-406 mentions the full name,9514314.79,4331942.608,,y,B027,9514343.93,4331933.838,Beelines__Point_IvP III 23,Epidauros,Pergamon Asklepieion,https://pleiades.stoa.org/places/570127,23.0742641946,37.598302343,Beelines_Point_IvP III 23,,"Asklepios, o theos",,Sextus Julius Maior Antoninus Pythodoros,,,"M. Julius Quartus; Ti. Cl. Chresimus",S. Julius Maior Antoninus Pythodorus,,M. Julius Quartus,Senator,,
"28",IvP III 24,https://drive.google.com/file/d/1cOWmb18Mb6EnRerMMx-OvmTvo_9klugv/view?usp=sharing,https://inscriptions.packhum.org/text/303025?bookid=747&location=1674,"24, pp.60-61",Taf. 9,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"200","215",ca. 200-215 AD?,Honorific,Honours for Quaestor of the province of Asia Marcus Junius Hermogenes for euergetism, ,Statue base,White Marble,Not stated, , , ,9514476.239,4331880.294,,y,B014,9514401.533,4331930.279,Beelines__Point_IvP III 24,,,,,,Beelines_Point_IvP III 24,,,,Quaestor of the province of Asia Marcus Junius Hermogenes,,,,M. Junius Hermogenes,,,Quaestor/Senator,,
"29",IvP III 25,https://drive.google.com/file/d/1Pk3YS1wqXK5WY1a2eYR-yoIKZkJkGyS5/view?usp=sharing,https://inscriptions.packhum.org/text/303026?bookid=747&location=1674,"25, pp. 61-62",Taf. 9,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"200","150",200-250AD,Honorific,Honours for senator Flavius Pollio Flavianus by a friend for euergetism, ,Statue base,White marble,Found in front of the eastern wing of the theatre in the Festplatz, ,This place seems to have been a vocal point for honorific statues, ,9514330.147,4331941.325,,y,B026,9514343.93,4331933.838,Beelines__Point_IvP III 25,,,,,,Beelines_Point_IvP III 25,,,,Senator Flavius Pollio Flavianus,(a friend),,,Flavius Pollos Flavianus,,,Senator,,
"30",IvP III 26,,https://inscriptions.packhum.org/text/303027?bookid=747&location=1674,"26, pp. 62-63",Taf. 11,B.c. Ehreninschriften. Für Angehörige des senatorischen Standes,Imperial,"240","260",ca. 250 AD,Honorific,"Honour Flavius Ranios Pollio; likely son of no.25. The statue is of his father.",He was priest and agonothetes for Asklepios Soter. Letters distorted due to water damage. ,Statue base,Light Blue-ish marble,Found at the open space (Festplatz) in front of the Northern Hall across the Theater, , , ,9514314.79,4331942.608,,y,B066,9514333.043,4331928.378,Beelines__Point_IvP III 26,,,,,,Beelines_Point_IvP III 26,,,,Flavius Ranios Pollio,(a son),,,"Flavius Ranius Pollio Flavianus; Flavius Pollos Flavianus",,,Senator,"priest; agonothetes",
"31",IvP III 27,https://drive.google.com/file/d/1pDvnzxxR1zISOjy9ruuG9pQ9jn2gP4z0/view?usp=sharing,https://inscriptions.packhum.org/text/303028?bookid=747&location=1674,"27, pp 63-66",Taf. 10,B.d. Ehreninschriften. Für Angehörige des Ritterstandes,Imperial,"100","200",100-200 AD,Honorific,"Honours Titus Julius Perseus, placed by the Praetor Julius Major on his own costs","The boule and demos were involved in the decissionmaking, but did not pay. Perseus was also honoured in an Asklepieion in Hamman Ellif (Tunesia) when stationed there",Statue base,White marble,Found in the peristasis of the northern hall, ,This place seems to have been a vocal point for honorific statues, ,9514355.143,4331946.815,,y,B056,9514380.925,4331944.341,Beelines__Point_IvP III 27,Hamman Ellif (Tunesia),,,10.333333,36.733333,Beelines_Point_IvP III 27,,,,Titus Julius Perseus,Praetor Julius Major,,,"T. Julius Perseus; S. Julius Maior Antoninus Pythodorus",,,"Equites; Praetor/Senator",,
"32",IvP III 28,https://drive.google.com/file/d/1pAY0xjv0NmeCQQDzbzuNxVnQrWZB4mWH/view?usp=sharing,https://inscriptions.packhum.org/text/303029?bookid=747&location=1674,"28, pp. 66-67",Taf. 10,B.d. Ehreninschriften. Für Angehörige des Ritterstandes,Imperial,"173","175",173-175 AD,Honorific,Honours an imperial secretary Claudius Vibianus Tertullus,Boule and Demos involved in decission - and thus also involved in location?,Statue base,White Marble,Found in the peristasis of the northern hall, ,This place seems to have been a vocal point for honorific statues, ,9514355.143,4331946.815,,y,B057,9514380.925,4331944.341,Beelines__Point_IvP III 28,,,,,,Beelines_Point_IvP III 28,,,Mnemosyne,imperial secretary  Claudius Vibianus Tertullus,,,Ti. Claudius Julianus,Ti. Claudius Vibianus Tertullus,,,"Equites; Imperial secretary; strategos",syntherapeutes,
"33",IvP III 29,https://drive.google.com/file/d/1qa_04Xc5lVGDfpn2rrgDccd1wN-6F5k7/view?usp=sharing,https://inscriptions.packhum.org/text/303030?bookid=747&location=1674,"29, pp. 67-68",Taf. 10,B.d. Ehreninschriften. Für Angehörige des Ritterstandes,Imperial,"161","211",161-211 AD,Honorific,"Honours imperial procurator L. Aurelius Lathicedes, placed by his brother Ti. Claudius Nicomedes, neokoros of Thea Rome and Theos Augoustos",Mentions also Thea Rome and Theos Augoustos,Statue Base,White Marble,Found at the peristasis of the northern hall, ,This place seems to have been a vocal point for honorific statues, ,9514355.143,4331946.815,,y,B048,9514416.08,4331934.924,Beelines__Point_IvP III 29,,,,,,Beelines_Point_IvP III 29,,,"Roma; Augustus", imperial procurator L. Aurelius Lathicedes,brother Ti. Claudius Nicomedes,,Ti. Claudius Nicomedes,,,,"imperial procurator (epitropos); equites",neokoros of Thea Rome and Theos Augoustos,
"34",IvP III 30,,https://inscriptions.packhum.org/text/303031?bookid=747&location=1674,"30, pp. 68-71",Taf. 12,B.d. Ehreninschriften. Für Angehörige des Ritterstandes,Imperial,"120","215",120-215 AD,Honorific,Honours Roman Knight Tiberius Claudius Pius,Mentions all his positions,Fully perserved block,White Marble,Not stated,"Based on other honours for similar people, possibly the northern hall", , ,9514476.239,4331880.294,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 30,"Asia (province); Pergamon",,,,,Beelines_Point_IvP III 30,,,,Tiberius Claudius Pius,,,Ti. Claudius Nicomedes,,,T. Vibius Pius,"Equites; 4th Legion Scythicus; 3rd Legion Gallica",,
"35",IvP III 31,https://drive.google.com/file/d/1cdUYSfx8KT0vxbRu9T5Jmy0vOv7bSoWn/view?usp=sharing,https://inscriptions.packhum.org/text/303032?bookid=747&location=1674,"31, pp. 71-74",Taf. 12,B.e. Ehreninschriften. Für Sophisten,Imperial,"217","218",217/18 AD,Honorific,Honours  the Sophist Tiberius Claudius Nikomedes,Boule and Demos involved in decission - and thus also involved in location?,A Block,White Marble,Found between the Northern Hall and Roman Baths, ,This place seems to have been a vocal point for honorific statues, ,9514314.79,4331942.608,,y,B031,9514317.894,4331936.344,Beelines__Point_IvP III 31,(Pisidian Antioch - see Weber 1932),,https://pleiades.stoa.org/places/609307,31.1894355,38.305175,Beelines_Point_IvP III 31,,,,Tiberius Claudius Nikomedes,,,Ti. Claudius Nicomedes,,,,Sophist,,
